Source,Target,Weight
Jo\u00e3o Miranda,Borja Valero,4
M. Brozovi\u0107,Borja Valero,3
M. \u0160kriniar,Borja Valero,3
D. D'Ambrosio,M. Brozovi\u0107,3
Borja Valero,Jo\u00e3o Cancelo,3
Borja Valero,Y. Karamoh,2
Jo\u00e3o Cancelo,Y. Karamoh,2
M. \u0160kriniar,D. D'Ambrosio,2
Borja Valero,D. D'Ambrosio,2
M. Icardi,M. Brozovi\u0107,2
Jo\u00e3o Cancelo,M. \u0160kriniar,2
Borja Valero,Jo\u00e3o Miranda,2
Borja Valero,Rafinha,2
D. D'Ambrosio,M. Icardi,2
S. Handanovi\u010d,M. \u0160kriniar,2
Jo\u00e3o Miranda,D. D'Ambrosio,2
I. Peri\u0161i\u0107,D. D'Ambrosio,2
D. D'Ambrosio,Borja Valero,1
Borja Valero,M. \u0160kriniar,1
Borja Valero,S. Handanovi\u010d,1
Rafinha,Borja Valero,1
M. Icardi,I. Peri\u0161i\u0107,1
D. D'Ambrosio,M. \u0160kriniar,1
I. Peri\u0161i\u0107,M. Icardi,1
Jo\u00e3o Miranda,S. Handanovi\u010d,1
Rafinha,Jo\u00e3o Miranda,1
M. Icardi,Jo\u00e3o Miranda,1
D. D'Ambrosio,Rafinha,1
D. D'Ambrosio,Jo\u00e3o Miranda,1
M. Brozovi\u0107,D. D'Ambrosio,1
Rafinha,M. \u0160kriniar,1
Jo\u00e3o Miranda,I. Peri\u0161i\u0107,1
Borja Valero,M. Brozovi\u0107,1
Y. Karamoh,Borja Valero,1
Y. Karamoh,Jo\u00e3o Miranda,1
Jo\u00e3o Cancelo,Borja Valero,1
M. \u0160kriniar,Jo\u00e3o Miranda,1
M. \u0160kriniar,Y. Karamoh,1
M. \u0160kriniar,Jo\u00e3o Cancelo,1
Rafinha,Jo\u00e3o Cancelo,1
M. Brozovi\u0107,Jo\u00e3o Cancelo,1
Y. Karamoh,M. Brozovi\u0107,1
Y. Karamoh,M. \u0160kriniar,1
Jo\u00e3o Cancelo,Rafinha,1
M. Brozovi\u0107,Jo\u00e3o Miranda,1
Y. Karamoh,M. Icardi,1
M. \u0160kriniar,M. Brozovi\u0107,1
M. Brozovi\u0107,I. Peri\u0161i\u0107,1
